eid	roadmap_name	encode_biosample	match_quality	assay	accession	url	ext	file_size	bio_rep	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	source
E037	CD4_Memory	CD4-positive, alpha-beta memory T cell	exact	DNase	ENCFF105DXR	https://www.encodeproject.org/files/ENCFF105DXR/@@download/ENCFF105DXR.bam	bam	9131872855	1	ENCSR526TFD	ENCODE4	dnase-alignment-step-v-1-0	2022-02-15T00:17:35.477756+00:00	true	data/E037_CD4_Memory/DNase/ENCFF105DXR.bam	ENCODE
E037	CD4_Memory	CD4-positive, alpha-beta memory T cell	exact	H3K27ac	NOT_FOUND			0	0					false		
E037	CD4_Memory	CD4-positive, alpha-beta memory T cell	exact	HiC	ENCFF543ROK	https://www.encodeproject.org/files/ENCFF543ROK/@@download/ENCFF543ROK.hic	hic	6751736074	1	ENCSR379TIE	ENCODE4	hic-diploidification-step-v-1-1	2024-11-23T23:11:19.332165+00:00	true	data/E037_CD4_Memory/HiC/ENCFF543ROK.hic	ENCODE
E038	CD4_Naive	naive thymus-derived CD4-positive, alpha-beta T cell	exact	DNase	ENCFF441QOR	https://www.encodeproject.org/files/ENCFF441QOR/@@download/ENCFF441QOR.bam	bam	14393840537	1	ENCSR181OGW	ENCODE4	dnase-alignment-step-v-1-0	2022-02-15T00:28:03.369982+00:00	true	data/E038_CD4_Naive/DNase/ENCFF441QOR.bam	ENCODE
E038	CD4_Naive	naive thymus-derived CD4-positive, alpha-beta T cell	exact	H3K27ac	NOT_FOUND			0	0					false		
E038	CD4_Naive	naive thymus-derived CD4-positive, alpha-beta T cell	exact	HiC	ENCFF074JNR	https://www.encodeproject.org/files/ENCFF074JNR/@@download/ENCFF074JNR.hic	hic	6890400034	1	ENCSR458VJJ	ENCODE4	hic-diploidification-step-v-1-1	2024-11-23T23:13:04.501674+00:00	true	data/E038_CD4_Naive/HiC/ENCFF074JNR.hic	ENCODE
E047	CD8_Naive	naive thymus-derived CD8-positive, alpha-beta T cell	exact	DNase	ENCFF141NLE	https://www.encodeproject.org/files/ENCFF141NLE/@@download/ENCFF141NLE.bam	bam	11196917199	1	ENCSR291HMM	ENCODE4	dnase-alignment-step-v-1-0	2022-07-25T18:50:17.339795+00:00	true	data/E047_CD8_Naive/DNase/ENCFF141NLE.bam	ENCODE
E047	CD8_Naive	naive thymus-derived CD8-positive, alpha-beta T cell	exact	H3K27ac	NOT_FOUND			0	0					false		
E047	CD8_Naive	naive thymus-derived CD8-positive, alpha-beta T cell	exact	HiC	NOT_FOUND			0	0					false		
E055	Foreskin_Fibro_1	foreskin fibroblast	exact	DNase	ENCFF913AWU	https://www.encodeproject.org/files/ENCFF913AWU/@@download/ENCFF913AWU.bam	bam	25017262374	1	ENCSR000EPP	ENCODE4	dnase-alignment-step-v-1-0	2021-02-08T18:39:40.225822+00:00	true	data/E055_Foreskin_Fibro_1/DNase/ENCFF913AWU.bam	ENCODE
E055	Foreskin_Fibro_1	foreskin fibroblast	exact	DNase	ENCFF443DQB	https://www.encodeproject.org/files/ENCFF443DQB/@@download/ENCFF443DQB.bam	bam	2850621541	2	ENCSR000EPP	ENCODE4	dnase-alignment-step-v-1-0	2021-02-08T18:39:41.841591+00:00	false	data/E055_Foreskin_Fibro_1/DNase/ENCFF443DQB.bam	ENCODE
E055	Foreskin_Fibro_1	foreskin fibroblast	exact	H3K27ac	NOT_FOUND			0	0					false		
E055	Foreskin_Fibro_1	foreskin fibroblast	exact	HiC	NOT_FOUND			0	0					false		
E056	Foreskin_Fibro_2	foreskin fibroblast	exact	DNase	ENCFF913AWU	https://www.encodeproject.org/files/ENCFF913AWU/@@download/ENCFF913AWU.bam	bam	25017262374	1	ENCSR000EPP	ENCODE4	dnase-alignment-step-v-1-0	2021-02-08T18:39:40.225822+00:00	true	data/E056_Foreskin_Fibro_2/DNase/ENCFF913AWU.bam	ENCODE
E056	Foreskin_Fibro_2	foreskin fibroblast	exact	DNase	ENCFF443DQB	https://www.encodeproject.org/files/ENCFF443DQB/@@download/ENCFF443DQB.bam	bam	2850621541	2	ENCSR000EPP	ENCODE4	dnase-alignment-step-v-1-0	2021-02-08T18:39:41.841591+00:00	false	data/E056_Foreskin_Fibro_2/DNase/ENCFF443DQB.bam	ENCODE
E056	Foreskin_Fibro_2	foreskin fibroblast	exact	H3K27ac	NOT_FOUND			0	0					false		
E056	Foreskin_Fibro_2	foreskin fibroblast	exact	HiC	NOT_FOUND			0	0					false		
E057	Foreskin_Kerat_2	foreskin keratinocyte	exact	DNase	ENCFF218LFH	https://www.encodeproject.org/files/ENCFF218LFH/@@download/ENCFF218LFH.bam	bam	4658540768	1	ENCSR724CND	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:35:13.216467+00:00	true	data/E057_Foreskin_Kerat_2/DNase/ENCFF218LFH.bam	ENCODE
E057	Foreskin_Kerat_2	foreskin keratinocyte	exact	H3K27ac	ENCFF573WQR	https://www.encodeproject.org/files/ENCFF573WQR/@@download/ENCFF573WQR.bam	bam	3831961234	1	ENCSR637ISS	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-01T21:44:49.532621+00:00	true	data/E057_Foreskin_Kerat_2/H3K27ac/ENCFF573WQR.bam	ENCODE
E057	Foreskin_Kerat_2	foreskin keratinocyte	exact	H3K27ac	ENCFF661IMO	https://www.encodeproject.org/files/ENCFF661IMO/@@download/ENCFF661IMO.bam	bam	3643401903	2	ENCSR637ISS	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-01T21:44:51.611675+00:00	false	data/E057_Foreskin_Kerat_2/H3K27ac/ENCFF661IMO.bam	ENCODE
E057	Foreskin_Kerat_2	foreskin keratinocyte	exact	HiC	NOT_FOUND			0	0					false		
E058	Foreskin_Kerat_3	foreskin keratinocyte	exact	DNase	ENCFF218LFH	https://www.encodeproject.org/files/ENCFF218LFH/@@download/ENCFF218LFH.bam	bam	4658540768	1	ENCSR724CND	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:35:13.216467+00:00	true	data/E058_Foreskin_Kerat_3/DNase/ENCFF218LFH.bam	ENCODE
E058	Foreskin_Kerat_3	foreskin keratinocyte	exact	H3K27ac	ENCFF573WQR	https://www.encodeproject.org/files/ENCFF573WQR/@@download/ENCFF573WQR.bam	bam	3831961234	1	ENCSR637ISS	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-01T21:44:49.532621+00:00	true	data/E058_Foreskin_Kerat_3/H3K27ac/ENCFF573WQR.bam	ENCODE
E058	Foreskin_Kerat_3	foreskin keratinocyte	exact	H3K27ac	ENCFF661IMO	https://www.encodeproject.org/files/ENCFF661IMO/@@download/ENCFF661IMO.bam	bam	3643401903	2	ENCSR637ISS	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-01T21:44:51.611675+00:00	false	data/E058_Foreskin_Kerat_3/H3K27ac/ENCFF661IMO.bam	ENCODE
E058	Foreskin_Kerat_3	foreskin keratinocyte	exact	HiC	NOT_FOUND			0	0					false		
E059	Foreskin_Melano_1	foreskin melanocyte	exact	DNase	ENCFF768NBD	https://www.encodeproject.org/files/ENCFF768NBD/@@download/ENCFF768NBD.bam	bam	23039074924	1	ENCSR434OBM	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:45:19.239150+00:00	true	data/E059_Foreskin_Melano_1/DNase/ENCFF768NBD.bam	ENCODE
E059	Foreskin_Melano_1	foreskin melanocyte	exact	H3K27ac	NOT_FOUND			0	0					false		
E059	Foreskin_Melano_1	foreskin melanocyte	exact	HiC	NOT_FOUND			0	0					false		
