cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
E006_H1_Mesenchymal_SC	H3K27ac	ENCFF214ROW	https://www.encodeproject.org/files/ENCFF214ROW/@@download/ENCFF214ROW.bam	bam	5508673562	2	ENCSR013KEC	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-20T08:05:41.035354+00:00	true	data/E006_H1_Mesenchymal_SC/H3K27ac/ENCFF214ROW.bam	unfiltered alignments	GRCh38
E006_H1_Mesenchymal_SC	ATAC	NOT_FOUND			0						false			
E006_H1_Mesenchymal_SC	HiC	NOT_FOUND			0						false			
E007_H1_Neuronal_Prog	DNase	ENCFF281RRN	https://www.encodeproject.org/files/ENCFF281RRN/@@download/ENCFF281RRN.bam	bam	19900670677	2	ENCSR963ALV	ENCODE4	dnase-alignment-step-v-1-0	2020-11-06T17:49:08.263610+00:00	true	data/E007_H1_Neuronal_Prog/DNase/ENCFF281RRN.bam	unfiltered alignments	GRCh38
E007_H1_Neuronal_Prog	H3K27ac	ENCFF549PQA	https://www.encodeproject.org/files/ENCFF549PQA/@@download/ENCFF549PQA.bam	bam	2224331496	2	ENCSR449AXO	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T00:44:31.308717+00:00	true	data/E007_H1_Neuronal_Prog/H3K27ac/ENCFF549PQA.bam	unfiltered alignments	GRCh38
E007_H1_Neuronal_Prog	ATAC	NOT_FOUND			0						false			
E007_H1_Neuronal_Prog	HiC	NOT_FOUND			0						false			
E011_hESC_CD184_Endoderm	DNase	ENCFF800HSD	https://www.encodeproject.org/files/ENCFF800HSD/@@download/ENCFF800HSD.bam	bam	21611433840	1	ENCSR940CXU	ENCODE4	dnase-alignment-step-v-1-0	2021-11-30T01:59:54.750008+00:00	true	data/E011_hESC_CD184_Endoderm/DNase/ENCFF800HSD.bam	unfiltered alignments	GRCh38
E011_hESC_CD184_Endoderm	H3K27ac	ENCFF029GGZ	https://www.encodeproject.org/files/ENCFF029GGZ/@@download/ENCFF029GGZ.bam	bam	1749126013	2	ENCSR200ETW	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T19:51:42.148341+00:00	true	data/E011_hESC_CD184_Endoderm/H3K27ac/ENCFF029GGZ.bam	unfiltered alignments	GRCh38
E011_hESC_CD184_Endoderm	ATAC	NOT_FOUND			0						false			
